age,infection,class
1.303752465,214.0521494,Children
1.792048887,252.381427,Children
2.106207657,236.8911037,Children
2.407130594,286.1151717,Children
2.685530928,325.5209619,Children
3.013935329,361.692691,Children
3.348155581,396.6951827,Children
3.714771088,433.9421681,Children
4.067418647,469.234896,Children
4.4749574,500.7971207,Children
4.982496928,537.7658311,Children
5.721062025,547.0182109,Children
6.230046759,527.1273533,Children
6.497535067,496.080367,Children
6.749198964,464.4363234,Children
7.000964263,433.9863946,Children
7.323514787,401.2228682,Children
7.65180511,366.3945183,Children
8.144296479,286.1279193,Children
7.974444361,334.6758424,Children
8.602389841,237.3967598,Children
8.596379181,274.9700997,Children
9.190624296,202.6455297,Children
10.08135919,208.606262,Children
10.99112937,194.9282191,Children
11.9003188,174.4111547,Children
12.8094437,153.1341991,Children
13.6767945,127.5223453,Children
13.90244793,103.0341454,Children
14.61056111,86.1371187,Children
15.1005203,71.22425249,Children
15.94790034,54.23525478,Children
16.5616247,37.15643998,Children
17.35353548,28.69999313,Children
18.26337574,15.84717608,Children
19.17406009,12.93425954,Children
20.08497029,12.68096245,Children
20.99563312,9.514748817,Children
21.90652181,9.008154636,Children
22.81751805,9.768045908,Children
23.72833145,8.37491191,Children
24.63924165,8.121614819,Children
25.55011958,7.488372093,Children
26.46097601,6.601832276,Children
27.37175715,4.828752643,Children
28.28263508,4.195509916,Children
29.19350226,3.435618645,Children
30.10445547,3.688915735,Children
31.01544095,4.322158462,Children
31.92636191,4.195509916,Children
32.8373689,5.082049733,Children
33.74826834,4.702104097,Children
34.65939363,6.981777912,Children
35.57025006,6.095238095,Children
36.48174101,12.68096245,Children
37.39365141,24.20598007,Children
38.3052284,31.80489278,Children
39.21663332,37.37742877,Children
40.12804899,43.07661331,Children
41.03920655,45.73623276,Children
41.98452046,44.29032853,Children
42.78289936,39.44338317,Children
43.77188798,44.39737671,Children
44.68351414,52.5752542,Children
45.58846188,70.7619853,Children
46.31025319,95.25581395,Children
46.53289909,132.8704319,Children
46.68129519,173.7937431,Children
46.96009057,206.2421558,Children
47.18405095,243.0828104,Children
47.39404503,277.9885567,Children
47.57304114,313.5599114,Children
47.80838939,350.9954121,Children
47.98325003,390.1100447,Children
48.28626517,423.3388704,Children
48.44436112,456.5883352,Children
48.79544051,495.0852713,Children
48.94745963,529.9136213,Children
49.23994856,561.0849945,Children
49.57465681,601.8341639,Children
50.0812316,646.4393292,Children
50.94483185,646.3177064,Children
51.14897651,612.3407161,Children
51.21101507,576.6831198,Children
51.391517,542.9162052,Children
51.45375555,509.6136687,Children
51.57904669,475.8135843,Children
51.72239422,441.0316722,Children
51.91677166,389.555371,Children
51.96556428,343.5593332,Children
1.267135054,270.4424142,Adults
1.978230683,240.4285714,Adults
2.927084629,259.955211,Adults
3.721888974,287.5083056,Adults
4.376213417,313.181775,Adults
5.040801098,337.8159222,Adults
6.117935121,344.6267996,Adults
6.984526932,310.0770764,Adults
7.85094786,273.5150486,Adults
8.452189452,234.8213046,Adults
9.210867684,197.2332226,Adults
9.782145238,167.897801,Adults
10.56393909,148.6592839,Adults
11.3585134,132.8704319,Adults
12.39222193,115.8995268,Adults
13.42044704,104.0126562,Adults
14.21236099,95.59354341,Adults
15.12142494,73.59891272,Adults
16.03061437,53.08184838,Adults
16.30530635,37.20856405,Adults
17.10534308,31.56767805,Adults
18.01510114,17.74690426,Adults
18.92539832,10.27464009,Adults
19.8362655,9.514748817,Adults
20.74699286,7.108426457,Adults
21.65786004,6.348535186,Adults
22.56872722,5.588643914,Adults
23.47958364,4.702104097,Adults
24.39057988,5.461995369,Adults
25.30160838,6.601832276,Adults
26.21249707,6.095238095,Adults
27.12327821,4.322158462,Adults
28.0341884,4.068861371,Adults
28.9449803,2.422430283,Adults
29.85586899,1.915836102,Adults
30.76680069,1.915836102,Adults
31.67775391,2.169133192,Adults
32.58882543,3.815564281,Adults
33.49982167,4.575455552,Adults
34.41086092,5.841941005,Adults
35.3218464,6.475183731,Adults
36.23292868,8.248263365,Adults
37.1514311,16.13483245,Adults
38.09077838,25.6920818,Adults
38.95658741,30.68405316,Adults
39.87919364,38.13732004,Adults
40.79059856,43.70985604,Adults
41.70175611,46.36947549,Adults
42.61273084,46.87606967,Adults
43.52360877,46.24282694,Adults
44.43486312,50.0422833,Adults
45.3814479,63.5620155,Adults
46.20229367,84.17504046,Adults
46.8827501,108.1423034,Adults
47.31966312,133.4625138,Adults
47.75763748,171.2811264,Adults
48.21675241,214.2526763,Adults
48.59288435,255.2103419,Adults
48.76114846,286.3009228,Adults
49.09401316,305.3404208,Adults
49.5940082,342.1191584,Adults
50.34229289,377.1754757,Adults
51.13558857,385.0276855,Adults
51.78831255,339.6115172,Adults
1.295922969,121.8520085,Elderly
2.14267943,97.5196567,Elderly
3.052753442,87.41943522,Elderly
4.026040145,90.31652069,Elderly
4.813365571,97.5196567,Elderly
5.849785649,112.4800161,Elderly
6.719126387,110.3016611,Elderly
7.771900546,101.1379353,Elderly
8.745978474,86.26376724,Elderly
9.609314208,67.54792666,Elderly
10.56491658,51.81536293,Elderly
11.35117863,46.49612403,Elderly
12.26171106,41.79429679,Elderly
13.37959876,40.92358804,Elderly
14.24901801,39.66976744,Elderly
15.36578479,25.59911406,Elderly
16.23502659,22.25559247,Elderly
17.26946556,13.88646897,Elderly
18.26263366,7.108426457,Elderly
19.17350084,6.348535186,Elderly
20.08433575,5.208698278,Elderly
20.99504161,2.549078828,Elderly
21.90598407,2.675727373,Elderly
22.82606572,2.070628768,Elderly
23.72775069,1.535890466,Elderly
24.50047782,-0.638242894,Elderly
25.54964637,1.915836102,Elderly
26.46061034,2.295781738,Elderly
27.37140224,0.649350649,Elderly
28.28235545,0.90264774,Elderly
29.19316886,-0.490486258,Elderly
30.10421887,0.90264774,Elderly
31.01511831,0.522702104,Elderly
31.92607153,0.775999195,Elderly
32.83692795,-0.110540622,Elderly
33.74767683,-2.263565891,Elderly
34.49291698,-3.059642462,Elderly
35.65228768,-3.023457163,Elderly
36.48057711,-1.02522456,Elderly
37.51625749,5.224529347,Elderly
38.55178223,9.641397362,Elderly
39.42148003,11.66777409,Elderly
40.62225364,11.66777409,Elderly
41.49194499,13.61816168,Elderly
42.56891174,18.45930233,Elderly
43.60390412,16.60706735,Elderly
44.4734363,16.68305648,Elderly
45.67436478,18.50679553,Elderly
46.54425616,22.81284607,Elderly
47.54766518,39.11251384,Elderly
48.49353171,60.42746401,Elderly
49.39840632,86.61838317,Elderly
50.32019177,116.9127152,Elderly
51.23248934,132.9970804,Elderly
51.72935042,132.8704319,Elderly
