year,bottom90,top10,top5,top1,top0.5,top0.1,top0.01,top10t1,top10t5,top5t1,top1t0.1,top1t0.5,top0.5t0.1,top0.1t0.01
1917,0.205,0.795,0.673,0.411,0.348,0.220,0.094,0.384,0.122,0.262,0.191,0.062,0.128,0.126
1918,0.222,0.778,0.647,0.374,0.302,0.176,0.070,0.404,0.131,0.273,0.198,0.072,0.125,0.106
1919,0.206,0.794,0.672,0.400,0.324,0.185,0.069,0.394,0.121,0.273,0.215,0.076,0.139,0.115
1920,0.227,0.773,0.627,0.356,0.283,0.150,0.051,0.417,0.145,0.271,0.206,0.073,0.133,0.099
1921,0.226,0.774,0.630,0.359,0.286,0.151,0.049,0.415,0.144,0.270,0.209,0.073,0.135,0.102
1922,0.214,0.786,0.652,0.391,0.315,0.172,0.060,0.395,0.134,0.261,0.219,0.076,0.144,0.111
1923,0.207,0.793,0.634,0.347,0.279,0.149,0.052,0.445,0.158,0.287,0.198,0.068,0.130,0.097
1924,0.193,0.807,0.652,0.368,0.297,0.160,0.056,0.439,0.155,0.284,0.208,0.071,0.137,0.104
1925,0.177,0.823,0.708,0.431,0.346,0.186,0.067,0.392,0.115,0.277,0.244,0.084,0.160,0.119
1926,0.170,0.830,0.724,0.451,0.365,0.203,0.075,0.379,0.106,0.273,0.249,0.087,0.162,0.128
1927,0.161,0.839,0.733,0.495,0.403,0.226,0.085,0.344,0.106,0.239,0.268,0.092,0.176,0.141
1928,0.156,0.844,0.741,0.514,0.423,0.246,0.098,0.330,0.103,0.227,0.268,0.091,0.177,0.149
1929,0.157,0.843,0.741,0.506,0.417,0.248,0.102,0.337,0.102,0.235,0.258,0.088,0.169,0.146
1930,0.164,0.836,0.747,0.490,0.400,0.230,0.090,0.347,0.089,0.257,0.260,0.090,0.170,0.140
1931,0.164,0.836,0.739,0.480,0.388,0.216,0.082,0.356,0.096,0.260,0.263,0.092,0.171,0.134
1932,0.160,0.840,0.743,0.470,0.390,0.224,0.075,0.370,0.097,0.272,0.246,0.080,0.166,0.149
1933,0.159,0.841,0.748,0.471,0.386,0.222,0.078,0.371,0.093,0.278,0.249,0.085,0.164,0.144
1934,0.175,0.825,0.735,0.472,0.393,0.218,0.074,0.353,0.091,0.262,0.254,0.079,0.175,0.144
1935,0.188,0.812,0.718,0.453,0.377,0.208,0.070,0.359,0.093,0.266,0.245,0.076,0.169,0.137
1936,0.184,0.816,0.719,0.452,0.373,0.200,0.065,0.364,0.097,0.267,0.252,0.079,0.173,0.134
1937,0.201,0.799,0.683,0.453,0.366,0.197,0.066,0.346,0.116,0.229,0.256,0.087,0.168,0.131
1938,0.203,0.797,0.662,0.407,0.321,0.168,0.058,0.390,0.135,0.255,0.239,0.086,0.153,0.110
1939,0.199,0.801,0.671,0.419,0.332,0.174,0.058,0.381,0.130,0.252,0.245,0.087,0.158,0.116
1940,0.224,0.776,0.639,0.379,0.297,0.153,0.052,0.396,0.137,0.259,0.226,0.082,0.144,0.102
1941,0.238,0.762,0.621,0.350,0.269,0.134,0.044,0.411,0.141,0.270,0.216,0.082,0.135,0.090
1942,0.253,0.747,0.604,0.346,0.266,0.130,0.041,0.401,0.142,0.258,0.216,0.081,0.136,0.089
1943,0.248,0.752,0.616,0.351,0.265,0.127,0.037,0.401,0.136,0.265,0.224,0.085,0.139,0.090
1944,0.251,0.749,0.616,0.345,0.258,0.122,0.038,0.404,0.133,0.271,0.223,0.086,0.137,0.084
1945,0.248,0.752,0.624,0.344,0.255,0.119,0.035,0.408,0.129,0.280,0.225,0.089,0.137,0.084
1946,0.254,0.746,0.609,0.318,0.235,0.109,0.034,0.428,0.137,0.291,0.209,0.084,0.126,0.075
1947,0.270,0.730,0.590,0.302,0.223,0.105,0.033,0.428,0.140,0.288,0.198,0.079,0.119,0.071
1948,0.281,0.719,0.576,0.299,0.222,0.103,0.032,0.419,0.142,0.277,0.196,0.077,0.119,0.071
1949,0.289,0.711,0.562,0.291,0.216,0.100,0.031,0.421,0.149,0.272,0.191,0.075,0.116,0.069
1950,0.284,0.716,0.573,0.305,0.227,0.106,0.028,0.410,0.143,0.268,0.199,0.079,0.121,0.078
1951,0.286,0.714,0.572,0.300,0.221,0.101,0.031,0.414,0.142,0.272,0.199,0.079,0.120,0.070
1952,0.289,0.711,0.566,0.297,0.218,0.099,0.031,0.414,0.145,0.269,0.198,0.079,0.118,0.069
1953,0.297,0.703,0.554,0.283,0.207,0.094,0.029,0.420,0.149,0.271,0.189,0.076,0.113,0.065
1954,0.294,0.706,0.551,0.288,0.210,0.095,0.029,0.417,0.154,0.263,0.193,0.078,0.115,0.066
1955,0.290,0.710,0.550,0.291,0.210,0.097,0.031,0.419,0.160,0.259,0.193,0.081,0.113,0.067
1956,0.287,0.713,0.560,0.294,0.216,0.100,0.032,0.419,0.153,0.265,0.195,0.078,0.117,0.068
1957,0.282,0.718,0.572,0.292,0.215,0.099,0.031,0.426,0.147,0.280,0.193,0.077,0.115,0.068
1958,0.282,0.718,0.569,0.289,0.211,0.097,0.031,0.429,0.148,0.281,0.191,0.077,0.114,0.066
1959,0.275,0.725,0.580,0.294,0.216,0.098,0.031,0.431,0.145,0.286,0.196,0.078,0.118,0.068
1960,0.273,0.727,0.581,0.294,0.216,0.101,0.033,0.433,0.146,0.287,0.193,0.078,0.115,0.068
1961,0.271,0.729,0.577,0.294,0.214,0.100,0.033,0.435,0.152,0.283,0.194,0.080,0.114,0.067
1962,0.264,0.736,0.583,0.296,0.217,0.101,0.033,0.440,0.154,0.286,0.195,0.079,0.116,0.068
1963,0.269,0.731,0.577,0.291,0.212,0.099,0.033,0.441,0.155,0.286,0.192,0.079,0.113,0.066
1964,0.274,0.727,0.571,0.285,0.207,0.097,0.033,0.441,0.155,0.286,0.188,0.078,0.110,0.064
1965,0.278,0.722,0.565,0.284,0.208,0.099,0.033,0.437,0.157,0.280,0.186,0.077,0.109,0.066
1966,0.283,0.717,0.558,0.283,0.208,0.100,0.033,0.433,0.159,0.275,0.183,0.075,0.108,0.067
1967,0.292,0.708,0.547,0.278,0.202,0.094,0.031,0.430,0.161,0.269,0.184,0.076,0.108,0.064
1968,0.295,0.705,0.557,0.286,0.210,0.100,0.033,0.418,0.147,0.271,0.186,0.076,0.110,0.067
1969,0.299,0.701,0.539,0.279,0.206,0.100,0.034,0.422,0.163,0.260,0.179,0.073,0.106,0.066
1970,0.300,0.700,0.547,0.276,0.199,0.095,0.032,0.424,0.153,0.272,0.181,0.077,0.104,0.063
1971,0.301,0.699,0.541,0.270,0.196,0.092,0.030,0.429,0.158,0.271,0.178,0.074,0.104,0.063
1972,0.303,0.697,0.538,0.265,0.190,0.087,0.029,0.432,0.159,0.273,0.178,0.075,0.103,0.058
1973,0.309,0.691,0.527,0.249,0.175,0.080,0.025,0.442,0.164,0.279,0.169,0.073,0.096,0.055
1974,0.315,0.685,0.519,0.249,0.178,0.080,0.024,0.436,0.166,0.270,0.169,0.070,0.099,0.055
1975,0.318,0.682,0.521,0.247,0.175,0.076,0.024,0.435,0.161,0.274,0.171,0.072,0.099,0.052
1976,0.323,0.677,0.505,0.235,0.164,0.072,0.023,0.442,0.172,0.270,0.163,0.070,0.093,0.049
1977,0.328,0.672,0.512,0.239,0.168,0.073,0.023,0.433,0.159,0.273,0.166,0.071,0.095,0.050
1978,0.332,0.668,0.494,0.229,0.161,0.071,0.022,0.438,0.174,0.264,0.159,0.068,0.091,0.049
1979,0.326,0.674,0.510,0.244,0.173,0.079,0.026,0.431,0.164,0.267,0.165,0.070,0.094,0.053
1980,0.329,0.671,0.507,0.243,0.174,0.080,0.026,0.428,0.164,0.264,0.163,0.069,0.094,0.054
1981,0.330,0.670,0.511,0.253,0.185,0.088,0.030,0.417,0.159,0.258,0.165,0.068,0.097,0.058
1982,0.341,0.659,0.505,0.257,0.190,0.094,0.033,0.403,0.155,0.248,0.162,0.066,0.096,0.062
1983,0.350,0.650,0.494,0.247,0.182,0.089,0.031,0.403,0.156,0.247,0.158,0.065,0.093,0.058
1984,0.356,0.644,0.490,0.248,0.185,0.093,0.034,0.396,0.154,0.242,0.155,0.063,0.092,0.059
1985,0.363,0.637,0.486,0.251,0.189,0.097,0.036,0.386,0.150,0.236,0.154,0.062,0.092,0.061
1986,0.364,0.636,0.486,0.251,0.188,0.093,0.034,0.385,0.150,0.235,0.158,0.063,0.095,0.059
1987,0.357,0.643,0.495,0.262,0.197,0.102,0.037,0.381,0.147,0.233,0.160,0.064,0.096,0.064
1988,0.347,0.653,0.509,0.279,0.215,0.116,0.044,0.374,0.145,0.229,0.163,0.064,0.099,0.072
1989,0.348,0.652,0.508,0.278,0.214,0.115,0.043,0.374,0.145,0.230,0.163,0.064,0.099,0.072
1990,0.343,0.657,0.512,0.281,0.217,0.117,0.045,0.376,0.146,0.230,0.164,0.064,0.101,0.072
1991,0.345,0.655,0.510,0.276,0.211,0.112,0.043,0.379,0.145,0.234,0.164,0.065,0.099,0.069
1992,0.329,0.671,0.527,0.292,0.226,0.122,0.048,0.379,0.144,0.235,0.170,0.066,0.104,0.074
1993,0.325,0.675,0.530,0.295,0.228,0.125,0.050,0.380,0.144,0.236,0.170,0.067,0.103,0.075
1994,0.326,0.674,0.530,0.292,0.225,0.121,0.047,0.382,0.144,0.238,0.171,0.067,0.104,0.074
1995,0.324,0.676,0.531,0.295,0.228,0.123,0.048,0.381,0.145,0.237,0.171,0.067,0.104,0.075
1996,0.320,0.680,0.537,0.303,0.236,0.132,0.054,0.378,0.143,0.235,0.171,0.067,0.104,0.078
1997,0.314,0.686,0.545,0.312,0.245,0.139,0.057,0.374,0.141,0.233,0.173,0.067,0.106,0.082
1998,0.308,0.692,0.554,0.323,0.254,0.145,0.059,0.369,0.138,0.231,0.178,0.068,0.109,0.086
1999,0.305,0.695,0.560,0.333,0.263,0.150,0.062,0.362,0.135,0.227,0.183,0.070,0.113,0.088
2000,0.302,0.698,0.566,0.341,0.273,0.160,0.069,0.357,0.132,0.225,0.182,0.068,0.113,0.091
2001,0.308,0.692,0.558,0.332,0.265,0.157,0.070,0.360,0.134,0.225,0.175,0.067,0.108,0.087
2002,0.310,0.690,0.552,0.320,0.252,0.145,0.063,0.370,0.138,0.232,0.175,0.068,0.107,0.082
2003,0.307,0.693,0.555,0.323,0.254,0.147,0.065,0.370,0.138,0.232,0.176,0.069,0.107,0.082
2004,0.300,0.700,0.565,0.335,0.267,0.156,0.070,0.364,0.135,0.229,0.179,0.069,0.111,0.086
2005,0.301,0.699,0.565,0.340,0.273,0.163,0.074,0.360,0.134,0.226,0.177,0.067,0.110,0.089
2006,0.293,0.707,0.575,0.349,0.281,0.168,0.077,0.358,0.132,0.226,0.181,0.068,0.113,0.091
2007,0.284,0.716,0.586,0.360,0.291,0.177,0.085,0.357,0.131,0.226,0.183,0.069,0.114,0.092
2008,0.254,0.746,0.614,0.381,0.310,0.190,0.092,0.365,0.132,0.232,0.192,0.071,0.120,0.098
2009,0.249,0.751,0.615,0.378,0.306,0.189,0.096,0.372,0.135,0.237,0.190,0.072,0.118,0.093
2010,0.243,0.757,0.626,0.395,0.324,0.207,0.108,0.362,0.131,0.231,0.188,0.071,0.117,0.099
2011,0.240,0.760,0.630,0.398,0.325,0.203,0.101,0.362,0.130,0.232,0.195,0.073,0.122,0.102
2012,0.228,0.772,0.646,0.418,0.345,0.220,0.112,0.354,0.126,0.228,0.198,0.073,0.125,0.108
