year,pop,bottom90,top10,top5,top1,top0.5,top0.1,top0.01,top10t1,top1t0.1,top10t0.1,pop65+
1962,0.31,0.11,0.38,0.40,0.42,0.43,0.46,0.51,0.35,0.40,0.36,0.9
1963,0.32,0.12,0.39,0.41,0.43,0.44,0.47,0.50,0.36,0.40,0.38,0.9
1964,0.32,0.12,0.40,0.42,0.44,0.45,0.48,0.50,0.38,0.41,0.39,0.9
1965,0.33,0.13,0.41,0.43,0.43,0.44,0.47,0.48,0.39,0.42,0.40,0.9
1966,0.34,0.14,0.41,0.43,0.43,0.43,0.45,0.47,0.40,0.42,0.41,0.10
1967,0.31,0.12,0.39,0.41,0.41,0.43,0.46,0.46,0.38,0.39,0.38,0.10
1968,0.32,0.14,0.39,0.40,0.42,0.43,0.45,0.42,0.37,0.40,0.38,0.10
1969,0.31,0.15,0.38,0.39,0.40,0.41,0.41,0.42,0.38,0.39,0.38,0.10
1970,0.33,0.14,0.41,0.43,0.41,0.43,0.45,0.45,0.41,0.39,0.41,0.10
1971,0.31,0.12,0.39,0.40,0.41,0.43,0.45,0.45,0.37,0.38,0.38,0.10
1972,0.32,0.13,0.40,0.42,0.42,0.43,0.45,0.45,0.38,0.41,0.39,0.10
1973,0.31,0.15,0.38,0.39,0.41,0.43,0.43,0.44,0.37,0.41,0.38,0.10
1974,0.30,0.15,0.37,0.38,0.40,0.40,0.41,0.44,0.36,0.39,0.37,0.10
1975,0.31,0.15,0.38,0.39,0.40,0.42,0.44,0.46,0.37,0.38,0.37,0.10
1976,0.29,0.15,0.36,0.37,0.38,0.40,0.42,0.43,0.36,0.36,0.36,0.11
1977,0.30,0.16,0.36,0.38,0.40,0.40,0.41,0.42,0.34,0.40,0.36,0.11
1978,0.28,0.16,0.35,0.36,0.38,0.38,0.39,0.42,0.33,0.37,0.34,0.11
1979,0.28,0.16,0.34,0.35,0.37,0.38,0.40,0.44,0.32,0.36,0.33,0.11
1980,0.29,0.16,0.35,0.36,0.38,0.38,0.40,0.42,0.32,0.37,0.34,0.11
1981,0.28,0.18,0.34,0.35,0.36,0.36,0.39,0.41,0.32,0.35,0.33,0.11
1982,0.29,0.18,0.34,0.34,0.35,0.34,0.36,0.37,0.34,0.34,0.34,0.12
1983,0.30,0.19,0.35,0.36,0.34,0.35,0.36,0.37,0.36,0.34,0.35,0.12
1984,0.30,0.20,0.36,0.36,0.33,0.33,0.34,0.34,0.37,0.33,0.36,0.12
1985,0.31,0.20,0.37,0.38,0.36,0.36,0.36,0.34,0.38,0.36,0.37,0.12
1986,0.32,0.21,0.39,0.39,0.38,0.38,0.39,0.35,0.39,0.38,0.39,0.12
1987,0.32,0.21,0.38,0.39,0.39,0.39,0.38,0.41,0.37,0.39,0.38,0.12
1988,0.32,0.22,0.37,0.38,0.38,0.38,0.36,0.36,0.36,0.39,0.37,0.12
1989,0.32,0.22,0.38,0.39,0.40,0.39,0.38,0.39,0.37,0.40,0.38,0.12
1990,0.33,0.22,0.38,0.39,0.38,0.37,0.36,0.37,0.38,0.40,0.39,0.12
1991,0.34,0.22,0.39,0.40,0.40,0.40,0.40,0.40,0.39,0.40,0.39,0.13
1992,0.34,0.22,0.40,0.41,0.39,0.39,0.40,0.40,0.41,0.39,0.40,0.13
1993,0.34,0.21,0.40,0.41,0.39,0.39,0.39,0.39,0.41,0.40,0.41,0.13
1994,0.34,0.21,0.41,0.41,0.40,0.40,0.40,0.41,0.41,0.39,0.41,0.13
1995,0.34,0.21,0.41,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.41,0.13
1996,0.34,0.21,0.40,0.41,0.39,0.38,0.39,0.39,0.42,0.39,0.41,0.13
1997,0.34,0.21,0.39,0.40,0.38,0.38,0.37,0.39,0.41,0.38,0.40,0.13
1998,0.33,0.21,0.38,0.39,0.37,0.36,0.36,0.39,0.40,0.37,0.39,0.12
1999,0.32,0.21,0.36,0.36,0.34,0.33,0.34,0.37,0.38,0.33,0.37,0.12
2000,0.31,0.21,0.35,0.35,0.33,0.32,0.32,0.34,0.38,0.33,0.36,0.12
2001,0.33,0.22,0.37,0.38,0.36,0.36,0.37,0.38,0.38,0.36,0.38,0.12
2002,0.33,0.21,0.38,0.39,0.37,0.37,0.38,0.39,0.39,0.36,0.38,0.12
2003,0.32,0.21,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.12
2004,0.32,0.21,0.37,0.38,0.36,0.36,0.36,0.36,0.38,0.37,0.37,0.12
2005,0.32,0.21,0.36,0.37,0.35,0.35,0.36,0.37,0.37,0.35,0.37,0.12
2006,0.32,0.21,0.36,0.37,0.35,0.35,0.36,0.36,0.37,0.34,0.36,0.12
2007,0.33,0.24,0.37,0.37,0.36,0.35,0.36,0.36,0.39,0.36,0.38,0.13
2008,0.35,0.23,0.38,0.38,0.36,0.36,0.36,0.36,0.41,0.37,0.39,0.13
2009,0.37,0.25,0.41,0.41,0.40,0.39,0.39,0.39,0.43,0.40,0.42,0.13
2010,0.37,0.24,0.41,0.41,0.38,0.37,0.37,0.35,0.43,0.40,0.42,0.13
2011,0.38,0.25,0.42,0.42,0.40,0.39,0.39,0.37,0.44,0.41,0.43,0.13
2012,0.38,0.25,0.42,0.42,0.40,0.39,0.39,0.39,0.44,0.40,0.43,0.14
