year,bottom90,top10,top5,top1,top0.5,top0.1,top0.01,class
1962,0.828,0.172,0.101,0.033,0.019,0.005,0.001,labour
1963,0.830,0.170,0.100,0.033,0.019,0.005,0.001,labour
1964,0.833,0.167,0.099,0.033,0.019,0.005,0.001,labour
1965,0.837,0.163,0.098,0.033,0.019,0.005,0.001,labour
1966,0.844,0.156,0.095,0.033,0.019,0.005,0.001,labour
1967,0.838,0.162,0.099,0.035,0.020,0.005,0.001,labour
1968,0.839,0.161,0.099,0.034,0.019,0.005,0.001,labour
1969,0.843,0.157,0.097,0.034,0.020,0.005,0.001,labour
1970,0.839,0.161,0.098,0.035,0.020,0.005,0.001,labour
1971,0.831,0.169,0.103,0.037,0.021,0.006,0.001,labour
1972,0.831,0.169,0.102,0.036,0.021,0.006,0.001,labour
1973,0.821,0.179,0.111,0.037,0.022,0.006,0.001,labour
1974,0.822,0.178,0.114,0.041,0.026,0.008,0.002,labour
1975,0.819,0.181,0.115,0.044,0.028,0.009,0.002,labour
1976,0.821,0.179,0.114,0.042,0.026,0.008,0.002,labour
1977,0.816,0.184,0.115,0.042,0.027,0.009,0.002,labour
1978,0.815,0.185,0.116,0.043,0.027,0.009,0.002,labour
1979,0.807,0.193,0.123,0.048,0.031,0.011,0.003,labour
1980,0.808,0.192,0.121,0.047,0.031,0.012,0.003,labour
1981,0.808,0.192,0.121,0.048,0.032,0.012,0.003,labour
1982,0.805,0.195,0.124,0.051,0.035,0.014,0.004,labour
1983,0.807,0.193,0.123,0.051,0.035,0.014,0.004,labour
1984,0.799,0.201,0.131,0.057,0.039,0.017,0.005,labour
1985,0.800,0.200,0.128,0.056,0.039,0.016,0.004,labour
1986,0.794,0.206,0.131,0.054,0.037,0.014,0.005,labour
1987,0.776,0.224,0.146,0.062,0.042,0.017,0.005,labour
1988,0.758,0.242,0.162,0.074,0.054,0.024,0.008,labour
1989,0.763,0.237,0.157,0.070,0.049,0.021,0.006,labour
1990,0.759,0.241,0.162,0.073,0.052,0.022,0.007,labour
1991,0.765,0.235,0.155,0.067,0.047,0.019,0.006,labour
1992,0.755,0.245,0.167,0.076,0.055,0.024,0.008,labour
1993,0.758,0.242,0.160,0.071,0.049,0.021,0.007,labour
1994,0.761,0.239,0.157,0.067,0.046,0.019,0.006,labour
1995,0.757,0.243,0.162,0.071,0.049,0.021,0.006,labour
1996,0.765,0.235,0.156,0.068,0.048,0.021,0.006,labour
1997,0.759,0.241,0.163,0.074,0.053,0.024,0.007,labour
1998,0.748,0.252,0.170,0.077,0.056,0.027,0.008,labour
