Date,CPI,source
1890,7.611651901,Warren&Pearson
1891,7.801941983,Warren&Pearson
1892,7.326212727,Warren&Pearson
1893,7.897091074,Warren&Pearson
1894,6.850483471,Warren&Pearson
1895,6.565052397,Warren&Pearson
1896,6.660193388,Warren&Pearson
1897,6.469903306,Warren&Pearson
1898,6.660193388,Warren&Pearson
1899,6.755342479,Warren&Pearson
1900,7.897091074,Warren&Pearson
1901,7.706792893,Warren&Pearson
1902,7.897091074,Warren&Pearson
1903,8.658259504,Warren&Pearson
1904,8.277679339,Warren&Pearson
1905,8.467928926,Warren&Pearson
1906,8.467928926,Warren&Pearson
1907,8.848509091,Warren&Pearson
1908,8.658259504,Warren&Pearson
1909,8.94367438,Warren&Pearson
1910,9.895165289,Warren&Pearson
1911,9.229089256,Warren&Pearson
1912,9.134004959,Warren&Pearson
1913,9.8,BLS
1914,10,BLS
1915,10.1,BLS
1916,10.4,BLS
1917,11.7,BLS
1918,14,BLS
1919,16.5,BLS
1920,19.3,BLS
1921,19,BLS
1922,16.9,BLS
1923,16.8,BLS
1924,17.3,BLS
1925,17.3,BLS
1926,17.9,BLS
1927,17.5,BLS
1928,17.3,BLS
1929,17.1,BLS
1930,17.1,BLS
1931,15.9,BLS
1932,14.3,BLS
1933,12.9,BLS
1934,13.2,BLS
1935,13.6,BLS
1936,13.8,BLS
1937,14.1,BLS
1938,14.2,BLS
1939,14,BLS
1940,13.9,BLS
1941,14.1,BLS
1942,15.7,BLS
1943,16.9,BLS
1944,17.4,BLS
1945,17.8,BLS
1946,18.2,BLS
1947,21.5,BLS
1948,23.7,BLS
1949,24,BLS
1950,23.5,BLS
1951,25.4,BLS
1952,26.5,BLS
1953.041667,26.60,BLS
1953.125,26.50,BLS
1953.208333,26.60,BLS
1953.291667,26.60,BLS
1953.375,26.70,BLS
1953.458333,26.80,BLS
1953.541667,26.80,BLS
1953.625,26.90,BLS
1953.708333,26.90,BLS
1953.791667,27.00,BLS
1953.875,26.90,BLS
1953.958333,26.90,BLS
1954.041667,26.90,BLS
1954.125,26.90,BLS
1954.208333,26.90,BLS
1954.291667,26.80,BLS
1954.375,26.90,BLS
1954.458333,26.90,BLS
1954.541667,26.90,BLS
1954.625,26.90,BLS
1954.708333,26.80,BLS
1954.791667,26.80,BLS
1954.875,26.80,BLS
1954.958333,26.70,BLS
1955.041667,26.70,BLS
1955.125,26.70,BLS
1955.208333,26.70,BLS
1955.291667,26.70,BLS
1955.375,26.70,BLS
1955.458333,26.70,BLS
1955.541667,26.80,BLS
1955.625,26.80,BLS
1955.708333,26.90,BLS
1955.791667,26.90,BLS
1955.875,26.90,BLS
1955.958333,26.80,BLS
1956.041667,26.80,BLS
1956.125,26.80,BLS
1956.208333,26.80,BLS
1956.291667,26.90,BLS
1956.375,27.00,BLS
1956.458333,27.20,BLS
1956.541667,27.40,BLS
1956.625,27.30,BLS
1956.708333,27.40,BLS
1956.791667,27.50,BLS
1956.875,27.50,BLS
1956.958333,27.60,BLS
1957.041667,27.60,BLS
1957.125,27.70,BLS
1957.208333,27.80,BLS
1957.291667,27.90,BLS
1957.375,28.00,BLS
1957.458333,28.10,BLS
1957.541667,28.30,BLS
1957.625,28.30,BLS
1957.708333,28.30,BLS
1957.791667,28.30,BLS
1957.875,28.40,BLS
1957.958333,28.40,BLS
1958.041667,28.60,BLS
1958.125,28.60,BLS
1958.208333,28.80,BLS
1958.291667,28.90,BLS
1958.375,28.90,BLS
1958.458333,28.90,BLS
1958.541667,29.00,BLS
1958.625,28.90,BLS
1958.708333,28.90,BLS
1958.791667,28.90,BLS
1958.875,29.00,BLS
1958.958333,28.90,BLS
1959.041667,29.00,BLS
1959.125,28.90,BLS
1959.208333,28.90,BLS
1959.291667,29.00,BLS
1959.375,29.00,BLS
1959.458333,29.10,BLS
1959.541667,29.20,BLS
1959.625,29.20,BLS
1959.708333,29.30,BLS
1959.791667,29.40,BLS
1959.875,29.40,BLS
1959.958333,29.40,BLS
1960.041667,29.30,BLS
1960.125,29.40,BLS
1960.208333,29.40,BLS
1960.291667,29.50,BLS
1960.375,29.50,BLS
1960.458333,29.60,BLS
1960.541667,29.60,BLS
1960.625,29.60,BLS
1960.708333,29.60,BLS
1960.791667,29.80,BLS
1960.875,29.80,BLS
1960.958333,29.80,BLS
1961.041667,29.80,BLS
1961.125,29.80,BLS
1961.208333,29.80,BLS
1961.291667,29.80,BLS
1961.375,29.80,BLS
1961.458333,29.80,BLS
1961.541667,30.00,BLS
1961.625,29.90,BLS
1961.708333,30.00,BLS
1961.791667,30.00,BLS
1961.875,30.00,BLS
1961.958333,30.00,BLS
1962.041667,30.00,BLS
1962.125,30.10,BLS
1962.208333,30.10,BLS
1962.291667,30.20,BLS
1962.375,30.20,BLS
1962.458333,30.20,BLS
1962.541667,30.30,BLS
1962.625,30.30,BLS
1962.708333,30.40,BLS
1962.791667,30.40,BLS
1962.875,30.40,BLS
1962.958333,30.40,BLS
1963.041667,30.40,BLS
1963.125,30.40,BLS
1963.208333,30.50,BLS
1963.291667,30.50,BLS
1963.375,30.50,BLS
1963.458333,30.60,BLS
1963.541667,30.70,BLS
1963.625,30.70,BLS
1963.708333,30.70,BLS
1963.791667,30.80,BLS
1963.875,30.80,BLS
1963.958333,30.90,BLS
1964.041667,30.90,BLS
1964.125,30.90,BLS
1964.208333,30.90,BLS
1964.291667,30.90,BLS
1964.375,30.90,BLS
1964.458333,31.00,BLS
1964.541667,31.10,BLS
1964.625,31.00,BLS
1964.708333,31.10,BLS
1964.791667,31.10,BLS
1964.875,31.20,BLS
1964.958333,31.20,BLS
1965.041667,31.20,BLS
1965.125,31.20,BLS
1965.208333,31.30,BLS
1965.291667,31.40,BLS
1965.375,31.40,BLS
1965.458333,31.60,BLS
1965.541667,31.60,BLS
1965.625,31.60,BLS
1965.708333,31.60,BLS
1965.791667,31.70,BLS
1965.875,31.70,BLS
1965.958333,31.80,BLS
1966.041667,31.80,BLS
1966.125,32.00,BLS
1966.208333,32.10,BLS
1966.291667,32.30,BLS
1966.375,32.30,BLS
1966.458333,32.40,BLS
1966.541667,32.50,BLS
1966.625,32.70,BLS
1966.708333,32.70,BLS
1966.791667,32.90,BLS
1966.875,32.90,BLS
1966.958333,32.90,BLS
1967.041667,32.90,BLS
1967.125,32.90,BLS
1967.208333,33.00,BLS
1967.291667,33.10,BLS
1967.375,33.20,BLS
1967.458333,33.30,BLS
1967.541667,33.40,BLS
1967.625,33.50,BLS
1967.708333,33.60,BLS
1967.791667,33.70,BLS
1967.875,33.80,BLS
1967.958333,33.90,BLS
1968.041667,34.10,BLS
1968.125,34.20,BLS
1968.208333,34.30,BLS
1968.291667,34.40,BLS
1968.375,34.50,BLS
1968.458333,34.70,BLS
1968.541667,34.90,BLS
1968.625,35.00,BLS
1968.708333,35.10,BLS
1968.791667,35.30,BLS
1968.875,35.40,BLS
1968.958333,35.50,BLS
1969.041667,35.60,BLS
1969.125,35.80,BLS
1969.208333,36.10,BLS
1969.291667,36.30,BLS
1969.375,36.40,BLS
1969.458333,36.60,BLS
1969.541667,36.80,BLS
1969.625,37.00,BLS
1969.708333,37.10,BLS
1969.791667,37.30,BLS
1969.875,37.50,BLS
1969.958333,37.70,BLS
1970.041667,37.80,BLS
1970.125,38.00,BLS
1970.208333,38.20,BLS
1970.291667,38.50,BLS
1970.375,38.60,BLS
1970.458333,38.80,BLS
1970.541667,39.00,BLS
1970.625,39.00,BLS
1970.708333,39.20,BLS
1970.791667,39.40,BLS
1970.875,39.60,BLS
1970.958333,39.80,BLS
1971.041667,39.80,BLS
1971.125,39.90,BLS
1971.208333,40.00,BLS
1971.291667,40.10,BLS
1971.375,40.30,BLS
1971.458333,40.60,BLS
1971.541667,40.70,BLS
1971.625,40.80,BLS
1971.708333,40.80,BLS
1971.791667,40.90,BLS
1971.875,40.90,BLS
1971.958333,41.10,BLS
1972.041667,41.10,BLS
1972.125,41.30,BLS
1972.208333,41.40,BLS
1972.291667,41.50,BLS
1972.375,41.60,BLS
1972.458333,41.70,BLS
1972.541667,41.90,BLS
1972.625,42.00,BLS
1972.708333,42.10,BLS
1972.791667,42.30,BLS
1972.875,42.40,BLS
1972.958333,42.50,BLS
1973.041667,42.60,BLS
1973.125,42.90,BLS
1973.208333,43.30,BLS
1973.291667,43.60,BLS
1973.375,43.90,BLS
1973.458333,44.20,BLS
1973.541667,44.30,BLS
1973.625,45.10,BLS
1973.708333,45.20,BLS
1973.791667,45.60,BLS
1973.875,45.90,BLS
1973.958333,46.20,BLS
1974.041667,46.60,BLS
1974.125,47.20,BLS
1974.208333,47.80,BLS
1974.291667,48.00,BLS
1974.375,48.60,BLS
1974.458333,49.00,BLS
1974.541667,49.40,BLS
1974.625,50.00,BLS
1974.708333,50.60,BLS
1974.791667,51.10,BLS
1974.875,51.50,BLS
1974.958333,51.90,BLS
1975.041667,52.10,BLS
1975.125,52.50,BLS
1975.208333,52.70,BLS
1975.291667,52.90,BLS
1975.375,53.20,BLS
1975.458333,53.60,BLS
1975.541667,54.20,BLS
1975.625,54.30,BLS
1975.708333,54.60,BLS
1975.791667,54.90,BLS
1975.875,55.30,BLS
1975.958333,55.50,BLS
1976.041667,55.60,BLS
1976.125,55.80,BLS
1976.208333,55.90,BLS
1976.291667,56.10,BLS
1976.375,56.50,BLS
1976.458333,56.80,BLS
1976.541667,57.10,BLS
1976.625,57.40,BLS
1976.708333,57.60,BLS
1976.791667,57.90,BLS
1976.875,58.00,BLS
1976.958333,58.20,BLS
1977.041667,58.50,BLS
1977.125,59.10,BLS
1977.208333,59.50,BLS
1977.291667,60.00,BLS
1977.375,60.30,BLS
1977.458333,60.70,BLS
1977.541667,61.00,BLS
1977.625,61.20,BLS
1977.708333,61.40,BLS
1977.791667,61.60,BLS
1977.875,61.90,BLS
1977.958333,62.10,BLS
1978.041667,62.50,BLS
1978.125,62.90,BLS
1978.208333,63.40,BLS
1978.291667,63.90,BLS
1978.375,64.50,BLS
1978.458333,65.20,BLS
1978.541667,65.70,BLS
1978.625,66.00,BLS
1978.708333,66.50,BLS
1978.791667,67.10,BLS
1978.875,67.40,BLS
1978.958333,67.70,BLS
1979.041667,68.30,BLS
1979.125,69.10,BLS
1979.208333,69.80,BLS
1979.291667,70.60,BLS
1979.375,71.50,BLS
